,index,GEO.id2,HC02_EST_VC02
162,163,53033022202,82009
163,164,53033022203,121759
164,165,53033022300,113958
165,166,53033022400,111754
166,167,53033022500,100584
167,168,53033022603,104382
168,169,53033022604,94222
169,170,53033022605,68636
170,171,53033022606,104072
171,172,53033022701,103292
172,173,53033022702,123221
173,174,53033022703,101250
174,175,53033022801,88160
175,176,53033022802,101184
176,177,53033022803,96908
177,178,53033022901,123000
178,179,53033022902,120731
179,180,53033023000,104013
180,181,53033023100,92283
181,182,53033023201,78119
182,183,53033023202,46719
183,184,53033023300,76500
184,185,53033023401,71269
185,186,53033023403,93387
186,187,53033023404,146875
187,188,53033023500,110568
188,189,53033023601,78155
189,190,53033023603,87236
190,191,53033023604,72383
191,192,53033023700,96268
192,193,53033023801,97674
193,194,53033023803,96975
194,195,53033023804,89479
195,196,53033023900,117308
196,197,53033024000,107479
197,198,53033024100,189231
198,199,53033024200,175625
199,200,53033024300,103178
200,201,53033024400,69583
201,202,53033024500,167361
202,203,53033024601,175132
203,204,53033024602,195156
204,205,53033024701,83712
205,206,53033024702,106941
206,207,53033024800,68042
207,208,53033024901,135625
208,209,53033024902,102616
209,210,53033024903,152458
210,211,53033025001,110114
211,212,53033025003,126089
212,213,53033025005,103229
213,214,53033025006,148750
214,215,53033025101,81676
215,216,53033025102,104469
216,217,53033025200,75109
217,218,53033025301,77278
218,219,53033025302,34471
219,220,53033025400,47773
220,221,53033025500,57246
221,222,53033025601,60833
222,223,53033025602,105446
223,224,53033025701,47219
224,225,53033025702,85758
225,226,53033025803,50750
226,227,53033025804,71225
227,228,53033025805,58309
228,229,53033025806,77821
229,230,53033026001,73750
230,231,53033026002,51154
231,232,53033026100,46826
232,233,53033026200,46535
233,234,53033026300,55110
234,235,53033026400,43487
235,236,53033026500,29107
236,237,53033026600,63799
237,238,53033026700,65660
238,239,53033026801,36505
239,240,53033026802,41875
240,241,53033027000,59417
241,242,53033027100,46250
242,243,53033027200,50083
243,244,53033027300,49023
244,245,53033027400,60536
245,246,53033027500,56406
246,247,53033027600,51944
247,248,53033027701,64007
248,249,53033027702,81757
249,250,53033027800,89185
250,251,53033027900,52425
251,252,53033028000,44127
252,253,53033028100,45845
253,254,53033028200,41386
254,255,53033028300,78915
255,256,53033028402,39756
256,257,53033028403,31356
257,258,53033028500,47560
258,259,53033028600,88574
259,260,53033028700,73841
260,261,53033028801,60948
261,262,53033028802,40590
262,263,53033028901,67500
263,264,53033028902,41000
264,265,53033029001,58641
265,266,53033029003,55747
266,267,53033029004,31783
267,268,53033029101,74228
268,269,53033029102,65174
269,270,53033029203,33704
270,271,53033029204,59591
271,272,53033029205,61304
272,273,53033029206,29623
273,274,53033029303,67727
274,275,53033029304,92829
275,276,53033029305,76755
276,277,53033029306,71029
277,278,53033029307,94375
278,279,53033029403,70114
279,280,53033029405,83750
280,281,53033029406,89792
281,282,53033029407,46627
282,283,53033029408,41651
283,284,53033029502,76295
284,285,53033029503,33092
285,286,53033029504,45329
286,287,53033029601,72635
287,288,53033029602,96964
288,289,53033029700,40513
289,290,53033029801,62788
290,291,53033029802,74350
291,292,53033029901,68609
292,293,53033029902,84816
293,294,53033030003,61250
294,295,53033030004,42439
295,296,53033030005,48942
296,297,53033030006,27635
297,298,53033030100,81458
298,299,53033030201,51837
299,300,53033030202,50226
300,301,53033030304,86198
301,302,53033030305,71311
302,303,53033030306,94677
303,304,53033030308,57565
304,305,53033030309,61973
305,306,53033030310,62237
306,307,53033030311,71659
307,308,53033030312,54413
308,309,53033030313,40208
309,310,53033030314,44918
310,311,53033030401,73497
311,312,53033030403,73917
312,313,53033030404,68616
313,314,53033030501,22775
314,315,53033030503,42900
315,316,53033030504,50396
316,317,53033030600,53188
317,318,53033030700,41492
318,319,53033030801,34351
319,320,53033030802,52317
320,321,53033030901,60893
321,322,53033030902,54315
322,323,53033031000,104500
323,324,53033031100,51058
324,325,53033031202,76932
325,326,53033031204,89375
326,327,53033031205,71083
327,328,53033031206,65809
328,329,53033031301,74632
329,330,53033031302,48385
330,331,53033031400,55398
331,332,53033031501,83667
332,333,53033031502,74306
333,334,53033031601,99730
334,335,53033031603,82067
335,336,53033031604,102202
336,337,53033031605,91071
337,338,53033031703,84408
338,339,53033031704,82277
339,340,53033031705,107311
340,341,53033031706,74239
341,342,53033031800,106875
342,343,53033031903,87014
343,344,53033031904,84088
344,345,53033031906,107299
345,346,53033031907,99038
346,347,53033031908,61827
347,348,53033031909,108265
348,349,53033032002,91063
349,350,53033032003,83750
350,351,53033032005,87350
351,352,53033032006,85323
352,353,53033032007,90703
353,354,53033032008,88375
354,355,53033032010,96857
355,356,53033032011,106957
356,357,53033032102,98750
357,358,53033032103,64474
358,359,53033032104,82456
359,360,53033032203,125636
360,361,53033032207,142470
361,362,53033032208,77226
362,363,53033032210,116732
363,364,53033032211,117250
364,365,53033032212,126146
365,366,53033032213,143585
366,367,53033032214,156481
367,368,53033032215,190900
368,369,53033032307,121402
369,370,53033032309,109469
370,371,53033032311,149087
371,372,53033032313,96573
372,373,53033032315,131992
373,374,53033032316,164599
374,375,53033032317,138854
375,376,53033032318,153098
376,377,53033032319,68370
377,378,53033032320,149519
378,379,53033032321,199542
379,380,53033032322,147750
380,381,53033032323,119773
381,382,53033032324,86600
382,383,53033032325,107727
383,384,53033032326,138917
384,385,53033032327,101563
385,386,53033032328,112917
386,387,53033032329,136616
387,388,53033032401,92500
388,389,53033032402,106824
389,390,53033032500,95309
390,391,53033032601,84583
391,392,53033032602,132072
392,393,53033032702,100309
393,394,53033032703,77483
394,395,53033032704,70471
395,396,53033032800,86121
